{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 15, 'adc-3': 525, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 0, 'adc-3': 524, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 0, 'adc-3': 524, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 0, 'adc-3': 524, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 28, 'adc-3': 525, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 13, 'adc-3': 525, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 1, 'adc-3': 525, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 0, 'adc-3': 526, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 6, 'adc-3': 525, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 5, 'adc-3': 525, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 0, 'adc-3': 524, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 0, 'adc-3': 524, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 3, 'adc-3': 524, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 35, 'adc-3': 525, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 9, 'adc-3': 525, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 1, 'adc-3': 525, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 1, 'adc-3': 526, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 17, 'adc-3': 525, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 9, 'adc-3': 525, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 0, 'adc-3': 524, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 0, 'adc-3': 524, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 7, 'adc-3': 524, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 23, 'adc-3': 525, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 7, 'adc-3': 525, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 0, 'adc-3': 526, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 3, 'adc-3': 526, 'dio-4': True}], 'options': '\x01'}
{'source_addr_long': '\x00\x13\xa2\x00@\xb9mw', 'source_addr': '\xdb\x03', 'id': 'rx_io_data_long_addr', 'samples': [{'adc-0': 19, 'adc-3': 525, 'dio-4': True}], 'options': '\x01'}
